,labels,text
18,el,"Παρά τον εαυτό μου , η γνώμη μου για τη σύνεση του ήταν απείρως αυξημένη ."
39,en,Didnt really seem to work much.
40,el,Ακόμα και το να ξέρεις ότι ήταν ένα άγαλμα που χάραξε ο άνθρωπος έκανε λίγα για να μειώσει το θαύμα του .
49,en,"Highly recommend for those who don't like being spoon fed CGI garbage. Found myself getting chills throughout when the characters started solving the problems. This was one of the first 'first encounter' movies I've thoroughly enjoyed, let alone writing a review for one."
75,el,Έχω κάνει τέσσερις ή πέντε .
82,en,Fascinating premise and characters. The only criticism I have is that it seemed to drag a bit in the middle of the book. The family involved are wealthy but amoral and any one could be the guilty party in the murders that occurred decades ago and recur in the timeline of this book.
105,el,"Με τη βοήθεια του σερβάντες , ανέφερε ότι έγραψε στον εργοδότη του ένα γράμμα που απαιτούσε τα χρήματα , με βάση τις ώρες που εργάστηκε , και μόλις έλαβε δύο επιταγές που ισοδυναμούν με περισσότερα από 3,000. δολάρια ."
111,el,"Οι οικονομικές καταστάσεις σήμερα εστιάζουν στην αξιοπιστία πολύ περισσότερο από ό , τι σε σχέση με τη συνάφεια ."
115,en,"This was perfect for my tree and decor, good price, just beautiful, thanks"
128,en,"This product does help with dry skin. However, I didn't care for the scent or the consistency. I'm sure it works well for others, just not with my personal taste."
135,en,"This thing worked okay the first time after they basically fall over every time I try to put my boat on top my Element. The racks are nothing but frustrating to use so your money is better spent on something more useful. The worst part, I was trick into buying them by the five star reviews. Only to discover after I received this item, they bribe you into giving them a five star review with “free” gift."
136,en,Engaging fleshed out characters. An enjoyable book for a romance. Head and shoulders above other writers in the romance genre.
146,en,These are extremely thick and is very noticeable. Doesn't really adhere to the edges. I'm very disappointed with these. Will have to purchase different ones that fix better from a different brand
154,en,Functional. Quite smooth. Low quality finish with silk screen printing peeled off when received. Knob on the handle can get loose and fall off.
159,el,- Δύο χρόνια .
167,el,Το Εθνικό Κέντρο Πληροφοριών για το έγκλημα του Ομοσπονδιακού Γραφείου Ερευνών
200,el,Τι σου έλεγα πάντα ;
201,en,"An interesting, easy read. Beautifully written."
210,en,"Wonderfully light weight but with some design flaws if you want to use it for gardening, driving, or just walking about. When you put it on in a breeze, you'll be reminded of those adverts for shampoo with the wind lifting up the model's long wavy hair and floating it about. Quite amusing at first and very cooling, but that entertainment wears off quickly when faced with the risk inherent in the hat's design. The bill/brim could be a shade longer but the biggest issue is that the flaps are too far forward. I've had to pin them back with safety pins so that my peripheral vision isn't suddenly blocked. Pinning them back has also helped cut down on the noise the flaps make as they flap about in even the lightest breeze, but the fact remains that without the safety pins, a flap can cross much of my face in an instant, momentarily totally blocking an eye on that side, blinding me to whatever might be coming from that side, which could be an accident waiting to happen. Even with no wind, without the pins in place, leaning forward to un-clip a weed-eater/brush cutter's harness, the flap kept blocking my view and after three attempts I had to take the hat off to do that simple task. I reckon the un-pinned flaps would be a hazard while driving, for example, a ride-on lawnmower. Curiously, despite being 100% nylon, they don't stink, or even whiff slightly, not even after a whole weeks wear. With a couple of safety pins handy, I'd quite happily recommend this product."
216,en,"Loving these! The only downside is that you have to remove the wrap around bit of leather when you put them on, so if you are in a hurry, probably best to have a backup pair that take less time to throw on."
219,el,"Αλλά δυστυχώς , έχω να κάνω σεξ εδώ και πέντε χρόνια ."
246,en,The watch screen doesn’t register the touch after you install this. Huge waste of money.
253,el,"Αλλά αυτό είναι ίσως το πιο συναρπαστικό πράγμα που μπορεί να ειπωθεί γι ' αυτό , λέει οι New York Times Ben μπράντλεϊ ."
258,el,"Μπορείτε επίσης να μείνετε μια νύχτα στο μοντέρνο ξενοδοχείο κιμπούτς του ein , σε ένα βοτανικό κήπο με εξωτικά δέντρα και φυτεύσεων ."
285,en,Great for protecting the back of my seats. I have them on backwards so the pockets face the seat. I had one for a couple of years and it worked great! So i bought two more to protect my other seats.
295,en,"Did not come with the string which I need, wish I could just have one sent but we all know how that goes an Amazon, you can return and re-buy and cross your fingers or just deal with it. The silver one is my original, don’t have the skills or patients to tie the same knot on the refurbished blue. As you can see the connect plus works between the two. The string is pictured in the description."
303,el,Ξέρεις ότι μπορεί να είναι αυτό που μπορεί να είναι .
307,el,Βίαιες εξεγέρσεις προκάλεσαν εξίσου βίαιες σφαγές σε αντίποινα
308,el,"Οι ελιές διατηρούνται είτε σε λάδι είτε σε άλμη , ή απλά παίρνουν σπίτι ένα μπουκάλι έξτρα παρθένο ελαιόλαδο τόσο για τη μαγειρική όσο και για να κάνουν νόστιμες σάλτσες για σαλάτες ."
